#Input Size       Avg    Best            Worst        (time in sec)
10000	1.114000 		1.013000 		1.009000 	
20000	2.016000 		2.030000 		2.023000 	
30000	3.019000 		2.988000 		2.955000 	
40000	3.122000 		2.587000 		2.708000 	
50000	3.462000 		3.405000 		3.682000 	
60000	3.937000 		3.858000 		4.296000 	
70000	4.827000 		4.709000 		4.445000 	
80000	5.114000 		5.157000 		5.124000 	
90000	5.870000 		5.820000 		5.791000 	
100000	6.504000 		6.666000 		6.528000 	
